Feature Category,Feature,install.sh,install_min.sh,install_minimum.sh,install_pro.sh,Description
Basic Info,Script Name,WordPress Master Full,WordPress Master Minimalistic,WordPress Minimum,WordPress Professional,Script identification
Basic Info,Lines of Code,2433,769,112,135,Total lines in script
Basic Info,File Size (approx),~97KB,~31KB,~4.5KB,~5.4KB,Approximate file size
Basic Info,Complexity Level,Very High,High,Very Low,Low,Overall script complexity
Basic Info,Target Audience,Advanced Users,Power Users,Beginners,Intermediate Users,Intended user skill level

Installation Types,Main Domain Installation,Yes,Yes,Yes,Yes,Install WordPress on main domain (example.com)
Installation Types,Subdomain Installation,Yes,Yes,No,No,Install WordPress on subdomain (blog.example.com)
Installation Types,Subdirectory Installation,Yes,Yes,No,No,Install WordPress in subdirectory (example.com/blog)
Installation Types,Apache + SSL Only,Yes,Yes,No,No,Install just Apache web server with SSL
Installation Types,Multiple Installation Types Menu,Yes,Yes,No,No,Interactive menu for choosing installation type

LAMP Stack,Apache Installation,Yes,Yes,Yes,Yes,Install and configure Apache web server
LAMP Stack,MySQL Installation,Yes,Yes,Yes,Yes,Install and configure MySQL database
LAMP Stack,PHP Installation,Yes,Yes,Yes,Yes,Install PHP and required extensions
LAMP Stack,PHP Extensions,Yes (Comprehensive),Yes (Comprehensive),Yes (Basic),Yes (Basic),PHP modules for WordPress
LAMP Stack,Redis Installation,Yes,Yes,Yes,Yes,Install and configure Redis caching
LAMP Stack,System Package Updates,Yes,Yes,Yes,Yes,Update system packages before installation

Database Management,MySQL Security Hardening,Yes,Yes,Yes,Yes,Secure MySQL installation
Database Management,Database Creation,Yes,Yes,Yes,Yes,Create WordPress database
Database Management,Database User Creation,Yes,Yes,Yes,Yes,Create dedicated database user
Database Management,Database Privileges,Yes,Yes,Yes,Yes,Grant appropriate database permissions
Database Management,Password Generation,Yes,Yes,Yes,Yes,Generate secure database passwords
Database Management,Existing MySQL Password Handling,Yes,Yes,No,No,Handle existing MySQL root passwords

WordPress Setup,WordPress Download,Yes,Yes,Yes,Yes,Download latest WordPress
WordPress Setup,WordPress Extraction,Yes,Yes,Yes,Yes,Extract WordPress files
WordPress Setup,wp-config.php Creation,Yes,Yes,Yes,Yes,Configure WordPress database connection
